#hg38.knownGene.name	hg38.knownGene.chrom	hg38.knownGene.strand	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.kgXref.geneSymbol
ENST00000407482.5	chr2	-	24077633	24084326	24077633	24084326	4	24077633,24080818,24082884,24084188,	24077761,24081031,24083152,24084326,	Q53FA7	TP53I3
ENST00000417886.1	chr2	-	24079501	24084511	24079501	24079501	4	24079501,24080818,24083000,24084188,	24079640,24081031,24083152,24084511,		TP53I3
ENST00000413037.1	chr2	-	24080745	24084311	24080771	24084311	3	24080745,24082884,24084188,	24081031,24083152,24084311,	H7BZH6	TP53I3
ENST00000470636.1	chr2	-	24084748	24085861	24084748	24084748	2	24084748,24085656,	24084860,24085861,		TP53I3
ENST00000661943.4	chr7	-	87322942	87345593	87322942	87322942	3	87322942,87341522,87345042,	87325444,87341684,87345593,		TP53TG1
ENST00000421293.5	chr7	-	87324584	87345596	87324584	87324584	3	87324584,87341522,87345304,	87325444,87341684,87345596,		TP53TG1
ENST00000416560.8	chr7	-	87324586	87345588	87324586	87324586	4	87324586,87341522,87345042,87345304,	87325444,87341684,87345233,87345588,		TP53TG1
ENST00000610086.3	chr7	-	87324588	87345538	87324588	87324588	3	87324588,87341354,87345042,	87325444,87341684,87345538,		TP53TG1
ENST00000359941.12	chr7	-	87325114	87345540	87325114	87325114	4	87325114,87329934,87341522,87345042,	87325444,87330094,87341684,87345540,		TP53TG1
ENST00000653182.1	chr7	-	87325136	87345496	87325136	87325136	3	87325136,87326262,87345042,	87325444,87326449,87345496,		TP53TG1
ENST00000689667.3	chr7	-	87325291	87345540	87325291	87325291	4	87325291,87326262,87341522,87345304,	87325444,87326449,87341684,87345540,		TP53TG1
ENST00000432193.9	chr7	-	87325291	87345566	87325291	87325291	3	87325291,87341522,87345233,	87325444,87341684,87345566,		TP53TG1
ENST00000702749.2	chr7	-	87325296	87345531	87325296	87325296	4	87325296,87326262,87341522,87345042,	87325444,87326449,87341684,87345531,		TP53TG1
ENST00000686297.2	chr7	-	87325296	87345536	87325296	87325296	4	87325296,87329934,87341522,87345304,	87325444,87330094,87341684,87345536,		TP53TG1
ENST00000685722.3	chr7	-	87325296	87345540	87325296	87325296	2	87325296,87345042,	87325444,87345540,		TP53TG1
ENST00000766307.1	chr7	-	87325296	87345540	87325296	87325296	4	87325296,87341522,87345042,87345304,	87325444,87341684,87345199,87345540,		TP53TG1
ENST00000766308.1	chr7	-	87325299	87345534	87325299	87325299	5	87325299,87326262,87341522,87345042,87345304,	87325444,87326449,87341684,87345233,87345534,		TP53TG1
ENST00000685527.2	chr7	-	87325303	87345540	87325303	87325303	3	87325303,87345042,87345304,	87325444,87345233,87345540,		TP53TG1
ENST00000685636.2	chr7	-	87325303	87345545	87325303	87325303	3	87325303,87341637,87345304,	87325444,87341684,87345545,		TP53TG1
ENST00000688353.2	chr7	-	87325344	87345540	87325344	87325344	3	87325344,87341652,87345304,	87325444,87341684,87345540,		TP53TG1
ENST00000766312.1	chr7	-	87325345	87345531	87325345	87325345	3	87325345,87341354,87345304,	87325444,87341684,87345531,		TP53TG1
ENST00000766310.1	chr7	-	87325345	87345534	87325345	87325345	3	87325345,87341518,87345042,	87325444,87341684,87345534,		TP53TG1
ENST00000686728.3	chr7	-	87325345	87345551	87325345	87325345	2	87325345,87345304,	87325444,87345551,		TP53TG1
ENST00000766342.1	chr7	-	87325346	87329773	87325346	87325346	2	87325346,87329577,	87325444,87329773,		TP53TG1
ENST00000766341.1	chr7	-	87325346	87344419	87325346	87325346	3	87325346,87341522,87344397,	87325444,87341684,87344419,		TP53TG1
ENST00000766339.1	chr7	-	87325346	87345457	87325346	87325346	4	87325346,87332001,87341522,87345233,	87325444,87332136,87341684,87345457,		TP53TG1
ENST00000766340.1	chr7	-	87325346	87345457	87325346	87325346	3	87325346,87341652,87345042,	87325444,87341684,87345457,		TP53TG1
ENST00000766338.1	chr7	-	87325346	87345459	87325346	87325346	3	87325346,87332001,87345304,	87325444,87332136,87345459,		TP53TG1
ENST00000766337.1	chr7	-	87325346	87345475	87325346	87325346	3	87325346,87341637,87345233,	87325444,87341684,87345475,		TP53TG1
ENST00000766335.1	chr7	-	87325346	87345482	87325346	87325346	4	87325346,87329934,87341522,87345042,	87325444,87330064,87341684,87345482,		TP53TG1
ENST00000766334.1	chr7	-	87325346	87345486	87325346	87325346	4	87325346,87329934,87345042,87345304,	87325444,87330094,87345233,87345486,		TP53TG1
ENST00000766333.1	chr7	-	87325346	87345488	87325346	87325346	4	87325346,87329934,87341522,87345304,	87325444,87330064,87341684,87345488,		TP53TG1
ENST00000766330.1	chr7	-	87325346	87345494	87325346	87325346	4	87325346,87329934,87341637,87345304,	87325444,87330064,87341684,87345494,		TP53TG1
ENST00000766331.1	chr7	-	87325346	87345494	87325346	87325346	4	87325346,87329934,87341354,87345304,	87325444,87330094,87341684,87345494,		TP53TG1
ENST00000766328.1	chr7	-	87325346	87345501	87325346	87325346	4	87325346,87329934,87341522,87345304,	87325444,87330028,87341684,87345501,		TP53TG1
ENST00000616845.2	chr7	-	87325346	87345504	87325346	87325346	3	87325346,87341354,87345233,	87325444,87341684,87345504,		TP53TG1
ENST00000702094.2	chr7	-	87325346	87345504	87325346	87325346	3	87325346,87329934,87345042,	87325444,87330094,87345504,		TP53TG1
ENST00000766317.1	chr7	-	87325346	87345504	87325346	87325346	4	87325346,87329934,87341652,87345304,	87325444,87330094,87341684,87345504,		TP53TG1
ENST00000766318.1	chr7	-	87325346	87345504	87325346	87325346	3	87325346,87329934,87345304,	87325444,87330094,87345504,		TP53TG1
ENST00000766319.1	chr7	-	87325346	87345504	87325346	87325346	5	87325346,87326262,87341522,87345042,87345304,	87325444,87326449,87341684,87345199,87345504,		TP53TG1
ENST00000766320.1	chr7	-	87325346	87345504	87325346	87325346	3	87325346,87341522,87345042,	87325444,87341708,87345504,		TP53TG1
ENST00000766321.1	chr7	-	87325346	87345504	87325346	87325346	4	87325346,87332001,87341522,87345304,	87325444,87332136,87341684,87345504,		TP53TG1
ENST00000766322.1	chr7	-	87325346	87345504	87325346	87325346	2	87325346,87345233,	87325444,87345504,		TP53TG1
ENST00000766323.1	chr7	-	87325346	87345504	87325346	87325346	4	87325346,87329934,87341522,87345042,	87325444,87330028,87341684,87345504,		TP53TG1
ENST00000766324.1	chr7	-	87325346	87345504	87325346	87325346	4	87325346,87341518,87345042,87345304,	87325444,87341684,87345233,87345504,		TP53TG1
ENST00000766325.1	chr7	-	87325346	87345504	87325346	87325346	4	87325346,87326266,87341522,87345042,	87325444,87326449,87341684,87345504,		TP53TG1
ENST00000766326.1	chr7	-	87325346	87345504	87325346	87325346	3	87325346,87341040,87345042,	87325444,87341684,87345504,		TP53TG1
ENST00000690980.2	chr7	-	87325346	87345508	87325346	87325346	4	87325346,87329934,87341522,87345042,	87325444,87330031,87341684,87345508,		TP53TG1
ENST00000766316.1	chr7	-	87325346	87345508	87325346	87325346	3	87325346,87332001,87345042,	87325444,87332136,87345508,		TP53TG1
ENST00000766314.1	chr7	-	87325346	87345511	87325346	87325346	3	87325346,87341522,87345304,	87325444,87341708,87345511,		TP53TG1
ENST00000766315.1	chr7	-	87325346	87345511	87325346	87325346	4	87325346,87326266,87341522,87345304,	87325444,87326449,87341684,87345511,		TP53TG1
ENST00000542586.3	chr7	-	87325346	87345515	87325346	87325346	4	87325346,87341354,87345042,87345304,	87325444,87341684,87345233,87345515,		TP53TG1
ENST00000766313.1	chr7	-	87325346	87345527	87325346	87325346	3	87325346,87345042,87345304,	87325444,87345199,87345527,		TP53TG1
ENST00000766311.1	chr7	-	87325346	87345534	87325346	87325346	3	87325346,87326262,87345304,	87325444,87326449,87345534,		TP53TG1
ENST00000766309.1	chr7	-	87325346	87345538	87325346	87325346	3	87325346,87341518,87345304,	87325444,87341684,87345538,		TP53TG1
ENST00000687819.2	chr7	-	87325346	87345540	87325346	87325346	5	87325346,87329934,87341522,87345042,87345304,	87325444,87330094,87341684,87345233,87345540,		TP53TG1
ENST00000766327.1	chr7	-	87325347	87345504	87325347	87325347	3	87325347,87341637,87345042,	87325444,87341684,87345504,		TP53TG1
ENST00000701419.1	chr7	-	87325351	87345457	87325351	87325351	4	87325351,87326262,87341354,87345042,	87325444,87326449,87341684,87345457,		TP53TG1
ENST00000766336.1	chr7	-	87325351	87345482	87325351	87325351	4	87325351,87329934,87341522,87345233,	87325444,87330094,87341684,87345482,		TP53TG1
ENST00000766332.1	chr7	-	87325352	87345495	87325352	87325352	4	87325352,87329934,87341522,87345304,	87325444,87330031,87341684,87345495,		TP53TG1
ENST00000766329.1	chr7	-	87325353	87345501	87325353	87325353	4	87325353,87341522,87345042,87345304,	87325444,87341684,87345182,87345501,		TP53TG1
ENST00000654969.2	chr7	-	87339148	87345504	87339148	87339148	2	87339148,87345042,	87341684,87345504,		TP53TG1
ENST00000685707.3	chr7	-	87344682	87345545	87344682	87344682	1	87344682,	87345545,		TP53TG1
ENST00000766346.1	chr7	-	87344775	87345499	87344775	87344775	2	87344775,87345304,	87344993,87345499,		TP53TG1
ENST00000766345.1	chr7	-	87344775	87345529	87344775	87344775	2	87344775,87345233,	87344993,87345529,		TP53TG1
ENST00000766344.1	chr7	-	87344775	87345534	87344775	87344775	2	87344775,87345304,	87345199,87345534,		TP53TG1
ENST00000766343.1	chr7	-	87344775	87345540	87344775	87344775	2	87344775,87345304,	87345233,87345540,		TP53TG1
ENST00000448464.6	chr8	-	94925971	94949366	94932085	94940941	5	94925971,94932069,94939859,94940829,94949153,	94930728,94932107,94940220,94941091,94949366,	Q96A56	TP53INP1
ENST00000342697.5	chr8	-	94925971	94949378	94930478	94940941	4	94925971,94939859,94940829,94949153,	94930728,94940220,94941091,94949378,	Q96A56	TP53INP1
ENST00000354556.8	chr11	-	44885902	44951289	44903393	44938335	9	44885902,44901219,44903355,44903779,44936802,44937303,44937554,44938206,44950876,	44886564,44901318,44903659,44903890,44936899,44937352,44937613,44938366,44951289,	E9PPM1	TP53I11
ENST00000395648.7	chr11	-	44932347	44950845	44934883	44938335	8	44932347,44935560,44936802,44937303,44937554,44938206,44941002,44950676,	44935017,44935662,44936899,44937352,44937613,44938366,44941077,44950845,	O14683	TP53I11
ENST00000525680.6	chr11	-	44932347	44950883	44934883	44938335	7	44932347,44935560,44936802,44937303,44937554,44938206,44950676,	44935017,44935662,44936899,44937352,44937613,44938366,44950883,	O14683	TP53I11
ENST00000308212.9	chr11	-	44932347	44951306	44934883	44938335	8	44932347,44935560,44936802,44937303,44937554,44938206,44939165,44950876,	44935017,44935662,44936899,44937352,44937613,44938366,44939281,44951306,	O14683	TP53I11
ENST00000616990.4	chr11	-	44932347	44951306	44934883	44938335	7	44932347,44935560,44936802,44937303,44937554,44938206,44950876,	44935017,44935662,44936899,44937352,44937613,44938366,44951306,	O14683	TP53I11
ENST00000533940.5	chr11	-	44932355	44950160	44934883	44938335	10	44932355,44935560,44936802,44937303,44937554,44938206,44939113,44940513,44941002,44949972,	44935017,44935662,44936899,44937352,44937613,44938366,44939190,44940747,44941077,44950160,	O14683	TP53I11
ENST00000532253.5	chr11	-	44933482	44950778	44936882	44938335	6	44933482,44935560,44936802,44937303,44938206,44950676,	44935017,44935662,44936899,44937352,44938366,44950778,	E9PNB3	TP53I11
ENST00000524774.1	chr11	-	44934947	44936056	44934947	44934947	2	44934947,44935560,	44935017,44936056,		TP53I11
ENST00000528473.5	chr11	-	44934979	44950752	44934979	44938335	8	44934979,44935560,44936802,44937303,44937554,44938206,44939113,44950676,	44935017,44935662,44936899,44937352,44937613,44938366,44939190,44950752,	E9PKZ4	TP53I11
ENST00000528290.5	chr11	-	44935567	44950874	44935567	44938335	4	44935567,44937303,44938206,44950676,	44935662,44937352,44938366,44950874,	E9PMY0	TP53I11
ENST00000533955.5	chr11	-	44935577	44950833	44935577	44935577	6	44935577,44936879,44937303,44937554,44938206,44950676,	44935662,44936899,44937352,44937613,44938366,44950833,		TP53I11
ENST00000531130.6	chr11	-	44935619	44950845	44935619	44935619	7	44935619,44936558,44936802,44937303,44937554,44938206,44950676,	44935662,44936689,44936899,44937352,44937613,44938366,44950845,		TP53I11
ENST00000531928.6	chr11	-	44936217	44950866	44936558	44938335	6	44936217,44936802,44937303,44937554,44938206,44950676,	44936689,44936899,44937352,44937613,44938417,44950866,	U3KQ32	TP53I11
ENST00000525667.1	chr11	-	44936455	44937250	44936455	44936455	2	44936455,44937108,	44936899,44937250,		TP53I11
ENST00000532921.1	chr11	-	44936667	44950833	44936667	44936667	4	44936667,44937554,44938206,44950676,	44937352,44937613,44938366,44950833,		TP53I11
ENST00000525145.5	chr11	-	44936803	44950837	44937159	44938335	5	44936803,44937108,44937554,44938206,44950676,	44936899,44937352,44937613,44938366,44950837,	E9PIK4	TP53I11
ENST00000525683.5	chr11	-	44936842	44943191	44936842	44938335	7	44936842,44937303,44937554,44938206,44939165,44941002,44943151,	44936899,44937352,44937613,44938366,44939281,44941077,44943191,	E9PQ46	TP53I11
ENST00000525138.5	chr11	-	44936849	44947219	44936849	44947091	5	44936849,44937303,44937554,44938206,44947038,	44936899,44937352,44937613,44938366,44947219,	E9PIN5	TP53I11
ENST00000533443.5	chr11	-	44936856	44947253	44936856	44938335	6	44936856,44937303,44937554,44938206,44939165,44947038,	44936899,44937352,44937613,44938366,44939281,44947253,	E9PMW4	TP53I11
ENST00000627720.1	chr11	-	44936882	44938335	44936882	44938335	3	44936882,44937303,44938206,	44936899,44937352,44938335,	E9PNB3	TP53I11
ENST00000530035.5	chr11	-	44937303	44950894	44937303	44938335	5	44937303,44937554,44938206,44939165,44950676,	44937352,44937613,44938366,44939281,44950894,	E9PS55	TP53I11
ENST00000527685.5	chr11	-	44937320	44951042	44937320	44938335	5	44937320,44937554,44938206,44939165,44950876,	44937352,44937613,44938366,44939281,44951042,	E9PKN9	TP53I11
ENST00000533937.1	chr11	-	44937554	44950208	44937554	44938335	4	44937554,44938206,44939165,44949972,	44937613,44938366,44939281,44950208,	E9PN66	TP53I11
ENST00000458238.6	chr11	-	128934730	128942927	128935036	128937818	4	128934730,128936537,128937677,128942793,	128935044,128936649,128937894,128942927,	Q9HCN2	TP53AIP1
ENST00000531399.6	chr11	-	128935369	128942871	128935590	128937818	4	128935369,128936537,128937677,128942793,	128935712,128936649,128937894,128942871,	Q9HCN2	TP53AIP1
ENST00000525390.1	chr11	-	128935369	128943143	128935369	128935369	2	128935369,128942793,	128937894,128943143,		TP53AIP1
ENST00000602346.5	chr11	-	128935376	128943399	128937491	128937818	2	128935376,128942793,	128937894,128943399,	Q9HCN2	TP53AIP1
ENST00000530777.5	chr11	-	128935590	128937818	128935590	128937818	3	128935590,128936537,128937677,	128935700,128936649,128937818,	Q9HCN2	TP53AIP1
ENST00000527504.1	chr11	-	128936536	128943145	128937491	128937818	3	128936536,128936761,128942793,	128936649,128937834,128943145,	Q9HCN2	TP53AIP1
ENST00000382044.9	chr15	-	43403060	43493156	43407382	43493043	28	43403060,43407942,43408896,43409646,43413118,43415593,43416224,43420304,43421024,43421854,43428015,43432193,43438323,43441525,43446386,43447365,43455891,43469857,43474672,43475564,43477592,43479396,43479858,43480894,43491668,43492001,43492283,43493036,	43407570,43408088,43409096,43409741,43413334,43415809,43416416,43420735,43421174,43422126,43428168,43432677,43438416,43441583,43446590,43447485,43457218,43470066,43474767,43475694,43477759,43479526,43480017,43481022,43491753,43492095,43492468,43493156,	Q12888	TP53BP1
ENST00000263801.7	chr15	-	43407208	43510614	43407382	43492460	28	43407208,43407942,43408896,43409646,43413118,43415593,43416224,43420304,43421024,43421854,43428015,43432193,43438323,43441525,43446386,43447365,43455891,43469857,43474672,43475564,43477592,43479396,43479858,43480894,43491668,43492001,43492283,43510369,	43407570,43408088,43409096,43409741,43413334,43415809,43416416,43420735,43421174,43422126,43428168,43432677,43438416,43441583,43446590,43447485,43457218,43470066,43474767,43475694,43477759,43479526,43480017,43481022,43491753,43492095,43492468,43510614,	Q12888	TP53BP1
ENST00000476454.5	chr15	-	43407213	43417216	43407213	43407213	7	43407213,43407942,43408896,43409646,43413118,43415593,43416224,	43407570,43408088,43409096,43409741,43413334,43415809,43417216,		TP53BP1
ENST00000411772.5	chr15	-	43407213	43456331	43446897	43456331	18	43407213,43407942,43408896,43409646,43413118,43415593,43416224,43420304,43421024,43421854,43428015,43432193,43438323,43441525,43446386,43446765,43447365,43455891,	43407570,43408088,43409096,43409741,43413334,43415809,43416416,43420735,43421174,43422126,43428168,43432677,43438416,43441583,43446590,43446914,43447485,43456331,	H7C3N7	TP53BP1
ENST00000382039.7	chr15	-	43407213	43493105	43407382	43493043	27	43407213,43407942,43408896,43409646,43413118,43415593,43416224,43420304,43421854,43428015,43432193,43438323,43441525,43446386,43447365,43455891,43469857,43474672,43475564,43477592,43479396,43479858,43480894,43491668,43492001,43492283,43493036,	43407570,43408088,43409096,43409741,43413334,43415809,43416416,43420735,43422126,43428168,43432677,43438416,43441583,43446590,43447485,43457218,43470066,43474767,43475694,43477759,43479526,43480017,43481022,43491753,43492095,43492468,43493105,	A6NNK5	TP53BP1
ENST00000450115.6	chr15	-	43407215	43493127	43407382	43493043	28	43407215,43407942,43408896,43409646,43413118,43415593,43416224,43420304,43421024,43421854,43428015,43432193,43438323,43441525,43446386,43447365,43455891,43469857,43474672,43475564,43477592,43479396,43479858,43480894,43491668,43492001,43492283,43493036,	43407570,43408088,43409096,43409741,43413328,43415809,43416416,43420735,43421174,43422126,43428168,43432677,43438416,43441583,43446590,43447485,43457218,43470066,43474767,43475694,43477759,43479526,43480017,43481022,43491753,43492095,43492468,43493127,	Q12888	TP53BP1
ENST00000434595.1	chr15	-	43409009	43413286	43409009	43413286	4	43409009,43409646,43412671,43413118,	43409096,43409741,43412767,43413286,	H7C495	TP53BP1
ENST00000434561.1	chr15	-	43413268	43420374	43414102	43420374	5	43413268,43414047,43415593,43416224,43420304,	43413334,43414116,43415809,43416416,43420374,	H7BZY0	TP53BP1
ENST00000572085.5	chr15	-	43415221	43493156	43415221	43415221	23	43415221,43416224,43420304,43421024,43421854,43428015,43432193,43438323,43441525,43446386,43447365,43455891,43469857,43474672,43475564,43477592,43479396,43479858,43480894,43491668,43492001,43492283,43493036,	43415809,43416416,43420735,43421174,43422126,43428168,43432677,43438416,43441583,43446590,43447485,43457218,43470066,43474767,43475694,43477759,43479526,43480017,43481022,43491753,43492095,43492468,43493156,		TP53BP1
ENST00000571145.1	chr15	-	43415721	43421057	43415721	43415721	4	43415721,43416224,43420617,43421024,	43415809,43416416,43420735,43421057,		TP53BP1
ENST00000417342.1	chr15	-	43421089	43438407	43428107	43438407	4	43421089,43421854,43428015,43438323,	43421174,43422126,43428168,43438407,	H7C151	TP53BP1
ENST00000467474.1	chr15	-	43421671	43428116	43421793	43428116	2	43421671,43428015,	43422126,43428116,	M0R142	TP53BP1
ENST00000413546.1	chr15	-	43432648	43493086	43432648	43493043	16	43432648,43438323,43441525,43446386,43455891,43469857,43474672,43475564,43477592,43479396,43479858,43480894,43491668,43492001,43492283,43493036,	43432677,43438416,43441583,43446590,43457218,43470066,43474767,43475694,43477759,43479526,43480017,43481022,43491753,43492095,43492468,43493086,	C9JXV0	TP53BP1
ENST00000480860.1	chr15	-	43441258	43456152	43441258	43441258	2	43441258,43455891,	43441583,43456152,		TP53BP1
ENST00000605155.1	chr15	-	43446532	43456178	43446532	43446532	4	43446532,43446765,43447365,43455891,	43446590,43446910,43447485,43456178,		TP53BP1
ENST00000414758.1	chr15	-	43447154	43456024	43447154	43447154	2	43447154,43455891,	43447485,43456024,		TP53BP1
ENST00000477089.1	chr15	-	43497437	43510728	43497437	43497437	2	43497437,43510369,	43497538,43510728,		TP53BP1
ENST00000398664.5	chr16	+	32253285	32255928	32253353	32254903	2	32253285,32254890,	32253715,32255928,	Q9ULZ0	TP53TG3D
ENST00000380148.6	chr16	+	32253321	32255919	32253353	32253857	4	32253321,32253820,32254393,32254890,	32253715,32253987,32254683,32255919,	Q9ULZ0	TP53TG3D
ENST00000569631.1	chr16	+	32253323	32255237	32253353	32254464	2	32253323,32254393,	32253591,32255237,	H3BT92	TP53TG3D
ENST00000563025.1	chr16	+	32253343	32254935	32253353	32254464	3	32253343,32254393,32254890,	32253591,32254683,32254935,	H3BT92	TP53TG3D
ENST00000568044.1	chr16	+	32253835	32255634	32253835	32253857	2	32253835,32254890,	32253987,32255634,	A0A1Y8EMM2	TP53TG3D
ENST00000564810.1	chr16	+	32254051	32255214	32254051	32254051	3	32254051,32254393,32254890,	32254098,32254683,32255214,		TP53TG3D
ENST00000567978.1	chr16	+	32254211	32255065	32254211	32254211	2	32254211,32254890,	32254683,32255065,		TP53TG3D
ENST00000565622.5	chr16	-	32673527	32676129	32675593	32676097	4	32673527,32674776,32675463,32675735,	32674564,32675065,32675630,32676129,	Q9ULZ0	TP53TG3
ENST00000398682.5	chr16	-	32673529	32676165	32674551	32676097	2	32673529,32675735,	32674564,32676165,	Q9ULZ0	TP53TG3
ENST00000563102.1	chr16	-	32674087	32676022	32674923	32676022	3	32674087,32674776,32675735,	32674564,32675065,32676022,	I3L219	TP53TG3
ENST00000569420.1	chr16	-	32674217	32676127	32674994	32676097	2	32674217,32675859,	32675065,32676127,	Q9ULZ0	TP53TG3
ENST00000563658.5	chr16	-	32674240	32675399	32674240	32674240	3	32674240,32674776,32675352,	32674564,32675065,32675399,		TP53TG3
ENST00000568854.1	chr16	-	32674278	32675711	32674278	32674278	3	32674278,32674776,32675463,	32674564,32675065,32675711,		TP53TG3
ENST00000562021.1	chr16	-	32674389	32675239	32674389	32674389	2	32674389,32674776,	32674564,32675239,		TP53TG3
ENST00000564154.1	chr16	-	32674657	32675621	32674657	32674657	2	32674657,32675463,	32675065,32675621,		TP53TG3
ENST00000561509.3	chr16	+	33194225	33196858	33194293	33195839	2	33194225,33195826,	33194655,33196858,	Q9ULZ0	TP53TG3C
ENST00000569719.5	chr16	+	33194261	33196855	33194293	33194797	4	33194261,33194760,33195325,33195826,	33194655,33194927,33195614,33196855,	Q9ULZ0	TP53TG3C
ENST00000360260.6	chr16	+	33194263	33196173	33194293	33195396	2	33194263,33195325,	33194531,33196173,	Q9ULZ0	TP53TG3C
ENST00000567137.1	chr16	+	33194283	33195871	33194293	33195396	3	33194283,33195325,33195826,	33194531,33195614,33195871,	Q9ULZ0	TP53TG3C
ENST00000566959.1	chr16	+	33194769	33195733	33194769	33194769	2	33194769,33195325,	33194927,33195733,		TP53TG3C
ENST00000562714.1	chr16	+	33194991	33196150	33194991	33194991	3	33194991,33195325,33195826,	33195038,33195614,33196150,		TP53TG3C
ENST00000564949.1	chr16	+	33195166	33196236	33195166	33195166	2	33195166,33195826,	33195614,33196236,		TP53TG3C
ENST00000623491.2	chr16	+	33304305	33306945	33304373	33305919	2	33304305,33305906,	33304735,33306945,	Q9ULZ0	TP53TG3E
ENST00000611321.1	chr16	+	33304343	33306318	33304373	33305476	2	33304343,33305405,	33304611,33306318,	Q9ULZ0	TP53TG3E
ENST00000341305.7	chr16	+	33360840	33363478	33360908	33362454	2	33360840,33362441,	33361270,33363478,	Q9ULZ0	TP53TG3B
ENST00000567724.5	chr16	+	33360876	33363475	33360908	33361412	4	33360876,33361375,33361940,33362441,	33361270,33361542,33362229,33363475,	Q9ULZ0	TP53TG3B
ENST00000569741.1	chr16	+	33360878	33362788	33360908	33362011	2	33360878,33361940,	33361146,33362788,	Q9ULZ0	TP53TG3B
ENST00000563564.1	chr16	+	33361390	33363190	33361390	33361412	2	33361390,33362441,	33361542,33363190,	A0A1Y8EMM2	TP53TG3B
ENST00000563809.1	chr16	+	33361606	33362765	33361606	33361606	3	33361606,33361940,33362441,	33361653,33362229,33362765,		TP53TG3B
ENST00000623042.2	chr16	+	33459611	33462249	33459679	33461225	2	33459611,33461212,	33460041,33462249,	Q9ULZ0	TP53TG3F
ENST00000617705.1	chr16	+	33459649	33462249	33459679	33460782	2	33459649,33460711,	33459917,33462249,	Q9ULZ0	TP53TG3F
ENST00000567602.1	chr16	-	35207902	35208236	35207902	35207902	1	35207902,	35208236,		TP53TG3GP
ENST00000563487.1	chr16	-	35506591	35506937	35506591	35506591	1	35506591,	35506937,		TP53TG3HP
