"ID","nc","Hugo_Symbol","MSK-IMPACT 50k 2026","TCGA GDC 2025"
"126837","> 5 mismatches | Indels","RB1",0.056,0.019
"482212","> 5 mismatches | Indels","TP53",0.056,0.028
"634708","[1, 5] mismatches","TP53",0.056,NA
"656751","[1, 5] mismatches","TP53",0.056,0.009
"13071","> 5 mismatches | Indels","RB1",0.054,0.009
"13090","[1, 5] mismatches","RB1",0.054,0.009
"376618","[1, 5] mismatches","TP53",0.054,NA
"7443","[1, 5] mismatches","STK11",0.054,NA
"188060","[1, 5] mismatches","TP53",0.052,NA
"230285","> 5 mismatches | Indels","TP53",0.052,0.009
"376626","[1, 5] mismatches","TP53",0.052,0.019
"373003","[1, 5] mismatches","NRAS",0.048,0.009
"376561","[1, 5] mismatches","TP53",0.048,0.009
"568781","> 5 mismatches | Indels","TP53",0.048,0.009
"638853","> 5 mismatches | Indels","TP53",0.048,0.009
"855749","[1, 5] mismatches","POLE",0.048,NA
"265337","[1, 5] mismatches","TP53",0.044,NA
"375871","[1, 5] mismatches","NRAS",0.044,NA
"376685","[1, 5] mismatches","TP53",0.044,NA
"12376","[1, 5] mismatches","TP53",0.042,NA
"12512","[1, 5] mismatches","TGFBR2",0.042,0.009
"142206","[1, 5] mismatches","TP53",0.042,NA
"376687","[1, 5] mismatches","TP53",0.042,0.019
"458543","[1, 5] mismatches","TP53",0.042,0.009
"13087","[1, 5] mismatches","RB1",0.039,NA
"216466","[1, 5] mismatches","TP53",0.039,NA
"376560","[1, 5] mismatches","TP53",0.039,NA
"376564","[1, 5] mismatches","TP53",0.039,0.009
"376565","[1, 5] mismatches","TP53",0.039,0.019
"634690","[1, 5] mismatches","TP53",0.039,0.019
"94176","[1, 5] mismatches","KMT2D",0.039,0.009
"979079","[1, 5] mismatches","TP53",0.039,0.009
"976531","[1, 5] mismatches","DNAAF1",NA,0.037
"1210292","[1, 5] mismatches","TP53",0.037,NA
"390565","[1, 5] mismatches","NOTCH1",0.037,NA
"428902","[1, 5] mismatches","TP53",0.037,NA
"492752","[1, 5] mismatches","TP53",0.037,NA
"582257","[1, 5] mismatches","TP53",0.037,NA
"635390","[1, 5] mismatches","TP53",0.037,NA
"934410","[1, 5] mismatches","TP53",0.037,0.009
"1018290","[1, 5] mismatches","TP53",0.035,NA
"126840","[1, 5] mismatches","RB1",0.035,0.019
"141302","[1, 5] mismatches","TP53",0.035,NA
"216467","[1, 5] mismatches","TP53",0.035,NA
"265333","[1, 5] mismatches","TP53",0.035,NA
"180848","> 5 mismatches | Indels","HRAS",0.033,0.009
"230477","[1, 5] mismatches","TP53",0.033,NA
"376662","[1, 5] mismatches","TP53",0.033,NA
"376686","[1, 5] mismatches","TP53",0.033,NA
"224551","[1, 5] mismatches","TP53",0.031,0.009
"376661","[1, 5] mismatches","TP53",0.031,NA
"406599","[1, 5] mismatches","TP53",0.031,NA
"458540","[1, 5] mismatches","TP53",0.031,NA
"575444","[1, 5] mismatches","RB1",0.031,NA
"634754","[1, 5] mismatches","TP53",0.031,0.028
"1036023","[1, 5] mismatches","TP53",0.029,NA
"13273","[1, 5] mismatches","FGFR2",0.029,NA
"141098","[1, 5] mismatches","TP53",0.029,NA
"438766","[1, 5] mismatches","H3F3A",0.029,NA
"480760","[1, 5] mismatches","TP53",0.029,NA
"486765","[1, 5] mismatches","APC",0.029,NA
"231025","[1, 5] mismatches","APC",NA,0.028
"355279","[1, 5] mismatches","LAMA2",NA,0.028
"508124","[1, 5] mismatches","TRIOBP",NA,0.028
"12383","[1, 5] mismatches","TP53",0.027,0.019
"12604","> 5 mismatches | Indels","HRAS",0.027,0.009
"16331","[1, 5] mismatches","FGFR3",0.027,0.019
"213781","[1, 5] mismatches","SMAD3",0.027,NA
"804214","[1, 5] mismatches","TP53",0.027,0.009
"824343","> 5 mismatches | Indels","STK11",0.027,NA
"860797","> 5 mismatches | Indels","TP53",0.027,NA
"1196280","[1, 5] mismatches","ERCC2",0.025,0.019
"126810","[1, 5] mismatches","RB1",0.025,NA
"142050","[1, 5] mismatches","TP53",0.025,NA
"376629","[1, 5] mismatches","TP53",0.025,NA
"376632","[1, 5] mismatches","TP53",0.025,NA
"423970","[1, 5] mismatches","TP53",0.025,NA
"449335","[1, 5] mismatches","APC",0.025,NA
"575453","> 5 mismatches | Indels","RB1",0.025,0.009
"231165","[1, 5] mismatches","TP53",0.023,NA
"240346","[1, 5] mismatches","PDGFRA",0.023,0.009
"376630","[1, 5] mismatches","TP53",0.023,0.009
"389644","[1, 5] mismatches","TP53",0.023,NA
"480751","[1, 5] mismatches","TP53",0.023,0.009
"482218","[1, 5] mismatches","TP53",0.023,NA
"80710","[1, 5] mismatches","TP53",0.023,NA
"822279","[1, 5] mismatches","TP53",0.023,NA
"823709","[1, 5] mismatches","TP53",0.023,NA
"1069758","[1, 5] mismatches","CARD11",0.021,NA
"12357","[1, 5] mismatches","TP53",0.021,NA
"180541","[1, 5] mismatches","TGFBR2",0.021,0.009
"185498","[1, 5] mismatches","TP53",0.021,NA
"230467","[1, 5] mismatches","NF1",0.021,NA
"376619","[1, 5] mismatches","TP53",0.021,NA
"376627","[1, 5] mismatches","TP53",0.021,0.019
"489600","[1, 5] mismatches","ATM",0.021,NA
"528271","> 5 mismatches | Indels","TP53",0.021,NA
"636889","[1, 5] mismatches","PLCG2",0.021,NA
"803543","[1, 5] mismatches","JAK3",0.021,NA
"871293","[1, 5] mismatches","TP53",0.021,NA
"92340","[1, 5] mismatches","APC",0.021,NA
"988615","[1, 5] mismatches","TP53",0.021,NA
"1007876","[1, 5] mismatches","SETX",NA,0.019
"1011964","[1, 5] mismatches","NGLY1",NA,0.019
"1024857","[1, 5] mismatches","GUCA1B",NA,0.019
"1098947","[1, 5] mismatches","ELP1",NA,0.019
"1106118","[1, 5] mismatches","CDH3",NA,0.019
"1112300","[1, 5] mismatches","TRPM1",NA,0.019
"1122412","[1, 5] mismatches","SLC12A5",NA,0.019
"1124979","[1, 5] mismatches","USH2A",NA,0.019
"1125264","[1, 5] mismatches","MSH3",NA,0.019
"1135103","[1, 5] mismatches","AICDA",NA,0.019
"1138359","[1, 5] mismatches","RPS20",NA,0.019
"1158368","> 5 mismatches | Indels","GLDC",NA,0.019
"1161672","[1, 5] mismatches","DNMT3B",NA,0.019
"1209591","[1, 5] mismatches","PCDH15",NA,0.019
"1302705","[1, 5] mismatches","LAMC3",NA,0.019
"1302906","[1, 5] mismatches","FRAS1",NA,0.019
"134508","[1, 5] mismatches","HNF1A",0.004,0.019
"164692","[1, 5] mismatches","MYO7A",NA,0.019
"164932","[1, 5] mismatches","PCDH15",NA,0.019
"189857","> 5 mismatches | Indels","SCN1A",NA,0.019
"201829","[1, 5] mismatches","JUP",NA,0.019
"209088","[1, 5] mismatches","LZTR1",0.012,0.019
"213800","[1, 5] mismatches","SMAD3",0.017,0.019
"218582","[1, 5] mismatches","MFF",NA,0.019
"220687","[1, 5] mismatches","RET",NA,0.019
"254098","[1, 5] mismatches","HECW2",NA,0.019
"284733","[1, 5] mismatches","RB1",0.017,0.019
"320661","[1, 5] mismatches","GAN",NA,0.019
"428706","> 5 mismatches | Indels","RB1",0.002,0.019
"428803","[1, 5] mismatches","VHL",0.002,0.019
"436822","[1, 5] mismatches","SMC3",NA,0.019
"446539","[1, 5] mismatches","DYNC2H1",NA,0.019
"463649","[1, 5] mismatches","RYR2",NA,0.019
"471412","[1, 5] mismatches","HSPB3",NA,0.019
"475648","[1, 5] mismatches","SLC12A5",NA,0.019
"476760","[1, 5] mismatches","GARS1",NA,0.019
"489526","[1, 5] mismatches","ATM",NA,0.019
"497825","[1, 5] mismatches","SYNE1",NA,0.019
"507272","> 5 mismatches | Indels","RYR2",NA,0.019
"557389","[1, 5] mismatches","ACADS",NA,0.019
"594311","[1, 5] mismatches","SLC27A5",NA,0.019
"619032","[1, 5] mismatches","AHCTF1",NA,0.019
"641482","[1, 5] mismatches","TP53",0.01,0.019
"666884","> 5 mismatches | Indels","MYO7A",NA,0.019
"696698","[1, 5] mismatches","CUBN",NA,0.019
"697971","[1, 5] mismatches","A2ML1",NA,0.019
"700863","[1, 5] mismatches","FANCA",NA,0.019
"702969","[1, 5] mismatches","NME8",NA,0.019
"706267","[1, 5] mismatches","PSEN2",NA,0.019
"711633","[1, 5] mismatches","EFL1",NA,0.019
"717276","[1, 5] mismatches","SNRPB",NA,0.019
"722763","[1, 5] mismatches","PQBP1",NA,0.019
"740478","[1, 5] mismatches","RELN",NA,0.019
"746443","[1, 5] mismatches","ACTA1",NA,0.019
"756480","[1, 5] mismatches","PTPRN2",NA,0.019
"757900","[1, 5] mismatches","PIK3AP1",NA,0.019
"77679","[1, 5] mismatches","DOCK8",NA,0.019
"805715","[1, 5] mismatches","TTN",NA,0.019
"859073","[1, 5] mismatches","SCN9A",NA,0.019
"861156","> 5 mismatches | Indels","RYR3",NA,0.019
"880016","[1, 5] mismatches","SLC29A3",NA,0.019
"884674","> 5 mismatches | Indels","ADAMTS17",NA,0.019
"893892","[1, 5] mismatches","NLRP7",NA,0.019
"915432","[1, 5] mismatches","COL18A1",NA,0.019
"933559","[1, 5] mismatches","CUBN",NA,0.019
"950014","[1, 5] mismatches","SLC29A3",NA,0.019
"964881","[1, 5] mismatches","NEB",NA,0.019
"977676","[1, 5] mismatches","TUBB8",NA,0.019
"982199","[1, 5] mismatches","ZNF292",NA,0.019
"985281","[1, 5] mismatches","EP300",0.008,0.019
"990665","[1, 5] mismatches","ELP1",NA,0.019
"991478","[1, 5] mismatches","TGM1",NA,0.019
"1076417","> 5 mismatches | Indels","RB1",0.019,NA
"127808","[1, 5] mismatches","TP53",0.019,NA
"141114","[1, 5] mismatches","TP53",0.019,0.009
"188268","[1, 5] mismatches","RET",0.019,NA
"3025","> 5 mismatches | Indels","ATM",0.019,NA
"479731","> 5 mismatches | Indels","MRE11A",0.019,NA
"55850","[1, 5] mismatches","NOTCH3",0.019,NA
"575193","[1, 5] mismatches","PDGFRA",0.019,NA
"634670","[1, 5] mismatches","TP53",0.019,NA
"651982","> 5 mismatches | Indels","CDH1",0.019,NA
"656497","> 5 mismatches | Indels","TP53",0.019,NA
"822878","[1, 5] mismatches","TP53",0.019,NA
"1027110","[1, 5] mismatches","TP53",0.017,NA
"1050551","[1, 5] mismatches","APC",0.017,NA
"1073381","[1, 5] mismatches","TP53",0.017,NA
"1209572","[1, 5] mismatches","TP53",0.017,NA
"126812","[1, 5] mismatches","RB1",0.017,0.009
"127818","[1, 5] mismatches","TP53",0.017,NA
"13838","[1, 5] mismatches","FGF3",0.017,0.009
"212027","[1, 5] mismatches","RECQL4",0.017,NA
"216021","[1, 5] mismatches","ATM",0.017,0.009
"216387","[1, 5] mismatches","PTCH1",0.017,NA
"234214","[1, 5] mismatches","TP53",0.017,NA
"376566","[1, 5] mismatches","TP53",0.017,NA
"376671","[1, 5] mismatches","TP53",0.017,0.009
"376688","[1, 5] mismatches","TP53",0.017,NA
"406596","[1, 5] mismatches","TP53",0.017,NA
"479485","> 5 mismatches | Indels","CDH1",0.017,NA
"485332","[1, 5] mismatches","BLM",0.017,NA
"486556","[1, 5] mismatches","TP53",0.017,NA
"549484","[1, 5] mismatches","FGFR2",0.017,NA
"579207","[1, 5] mismatches","RB1",0.017,0.009
"89744","[1, 5] mismatches","MLH1",0.017,NA
"935604","[1, 5] mismatches","CARD11",0.017,0.009
"941939","[1, 5] mismatches","NOTCH1",0.017,0.009
"1057941","[1, 5] mismatches","TP53",0.015,NA
"1061935","[1, 5] mismatches","ALK",0.015,NA
"12600","> 5 mismatches | Indels","HRAS",0.015,NA
"1304732","[1, 5] mismatches","CARD11",0.015,NA
"133479","[1, 5] mismatches","ALK",0.015,NA
"134166","[1, 5] mismatches","ERCC5",0.015,NA
"142431","[1, 5] mismatches","TP53",0.015,NA
"186440","[1, 5] mismatches","BRIP1",0.015,0.009
"186594","[1, 5] mismatches","TP53",0.015,NA
"232344","[1, 5] mismatches","TP53",0.015,NA
"265315","> 5 mismatches | Indels","ATM",0.015,NA
"290393","[1, 5] mismatches","VEGFA",0.015,NA
"354","[1, 5] mismatches","NF1",0.015,NA
"376631","[1, 5] mismatches","TP53",0.015,0.009
"376682","[1, 5] mismatches","TP53",0.015,NA
"376683","[1, 5] mismatches","TP53",0.015,NA
"376689","[1, 5] mismatches","TP53",0.015,NA
"381593","[1, 5] mismatches","RET",0.015,NA
"407409","[1, 5] mismatches","PDGFRA",0.015,NA
"407948","[1, 5] mismatches","POLD1",0.015,0.009
"428788","[1, 5] mismatches","STK11",0.015,NA
"428871","[1, 5] mismatches","TP53",0.015,0.009
"428873","[1, 5] mismatches","TP53",0.015,NA
"428884","[1, 5] mismatches","TP53",0.015,NA
"428895","[1, 5] mismatches","TP53",0.015,NA
"429183","> 5 mismatches | Indels","FH",0.015,0.009
"490165","[1, 5] mismatches","STK11",0.015,NA
"571976","> 5 mismatches | Indels","NF1",0.015,0.009
"634757","[1, 5] mismatches","TP53",0.015,NA
"634784","[1, 5] mismatches","TP53",0.015,NA
"641750","[1, 5] mismatches","RECQL4",0.015,NA
"642883","[1, 5] mismatches","NF1",0.015,NA
"804639","[1, 5] mismatches","NOTCH3",0.015,NA
"824232","[1, 5] mismatches","TP53",0.015,NA
"949408","[1, 5] mismatches","TP53",0.015,NA
"961450","[1, 5] mismatches","EGFR",0.015,NA
"988321","> 5 mismatches | Indels","AR",0.015,0.009
"992615","[1, 5] mismatches","SPEN",0.015,NA
"1029147","[1, 5] mismatches","ALOX12B",0.012,NA
"1064373","[1, 5] mismatches","DDR2",0.012,NA
"1176053","[1, 5] mismatches","RNF43",0.012,NA
"127337","> 5 mismatches | Indels","ATM",0.012,NA
"133794","[1, 5] mismatches","CARD11",0.012,NA
"134579","[1, 5] mismatches","JAK3",0.012,NA
"141630","[1, 5] mismatches","BRCA2",0.012,NA
"142012","[1, 5] mismatches","TP53",0.012,NA
"142635","[1, 5] mismatches","PMS2",0.012,NA
"180594","[1, 5] mismatches","FOXL2",0.012,NA
"190988","[1, 5] mismatches","NTRK1",0.012,NA
"236616","[1, 5] mismatches","APC",0.012,NA
"240337","[1, 5] mismatches","PDGFRA",0.012,NA
"245609","[1, 5] mismatches","SMO",0.012,NA
"245842","[1, 5] mismatches","ATM",0.012,NA
"328377","[1, 5] mismatches","NOTCH3",0.012,NA
"376220","[1, 5] mismatches","NRAS",0.012,NA
"376628","[1, 5] mismatches","TP53",0.012,NA
"381588","[1, 5] mismatches","HNF1A",0.012,NA
"39479","[1, 5] mismatches","INPPL1",0.012,NA
"39618","[1, 5] mismatches","PDGFRA",0.012,NA
"405563","[1, 5] mismatches","SMAD3",0.012,NA
"406933","[1, 5] mismatches","RECQL4",0.012,NA
"408071","[1, 5] mismatches","POLD1",0.012,NA
"421949","[1, 5] mismatches","ATM",0.012,NA
"428683","> 5 mismatches | Indels","RB1",0.012,NA
"463735","[1, 5] mismatches","CDH1",0.012,0.009
"470903","[1, 5] mismatches","ALK",0.012,NA
"527834","[1, 5] mismatches","STK11",0.012,NA
"528249","[1, 5] mismatches","TP53",0.012,NA
"528564","[1, 5] mismatches","PDGFRA",0.012,0.009
"545065","[1, 5] mismatches","KDM6A",0.012,NA
"548668","[1, 5] mismatches","GNA11",0.012,NA
"562373","[1, 5] mismatches","HNF1A",0.012,NA
"580769","[1, 5] mismatches","NF1",0.012,NA
"580807","[1, 5] mismatches","TP53",0.012,0.009
"617472","[1, 5] mismatches","TP53",0.012,0.009
"620098","> 5 mismatches | Indels","PMS2",0.012,NA
"620603","[1, 5] mismatches","PAX5",0.012,NA
"632591","> 5 mismatches | Indels","SETD2",0.012,NA
"634672","[1, 5] mismatches","TP53",0.012,NA
"65216","[1, 5] mismatches","TSC2",0.012,NA
"661119","[1, 5] mismatches","CARD11",0.012,NA
"6882","[1, 5] mismatches","EP300",0.012,0.009
"707132","[1, 5] mismatches","PDGFRB",0.012,NA
"803537","[1, 5] mismatches","NOTCH3",0.012,NA
"824351","[1, 5] mismatches","TP53",0.012,NA
"907133","[1, 5] mismatches","IL7R",0.012,NA
"91313","[1, 5] mismatches","PMS2",0.012,NA
"965090","[1, 5] mismatches","FANCA",0.012,NA
"1040389","[1, 5] mismatches","DNMT3B",0.01,NA
"1054765","[1, 5] mismatches","TP53",0.01,NA
"1061185","[1, 5] mismatches","ALK",0.01,NA
"1070561","[1, 5] mismatches","APC",0.01,NA
"12363","[1, 5] mismatches","TP53",0.01,NA
"12613","> 5 mismatches | Indels","HRAS",0.01,0.009
"126818","[1, 5] mismatches","RB1",0.01,NA
"126842","[1, 5] mismatches","RB1",0.01,NA
"127429","> 5 mismatches | Indels","ATM",0.01,NA
"129235","[1, 5] mismatches","HNF1A",0.01,NA
"13084","> 5 mismatches | Indels","RB1",0.01,NA
"1324344","[1, 5] mismatches","ERCC5",0.01,NA
"133469","[1, 5] mismatches","ALK",0.01,NA
"1335016","[1, 5] mismatches","H3F3A",0.01,NA
"134032","[1, 5] mismatches","EGFR",0.01,NA
"134185","[1, 5] mismatches","ERCC5",0.01,NA
"134941","[1, 5] mismatches","NOTCH1",0.01,NA
"135067","[1, 5] mismatches","PMS2",0.01,NA
"13546","[1, 5] mismatches","PDGFRA",0.01,NA
"141988","[1, 5] mismatches","TP53",0.01,NA
"156480","[1, 5] mismatches","APC",0.01,NA
"16269","[1, 5] mismatches","FLT4",0.01,NA
"182896","> 5 mismatches | Indels","STK11",0.01,NA
"183738","[1, 5] mismatches","MLH1",0.01,NA
"184934","[1, 5] mismatches","APC",0.01,NA
"185354","[1, 5] mismatches","NF1",0.01,NA
"185798","[1, 5] mismatches","STK11",0.01,NA
"187027","[1, 5] mismatches","NF1",0.01,NA
"188066","[1, 5] mismatches","MEN1",0.01,NA
"222756","[1, 5] mismatches","NOTCH1",0.01,NA
"231214","[1, 5] mismatches","TP53",0.01,NA
"236796","> 5 mismatches | Indels","ATM",0.01,NA
"239668","[1, 5] mismatches","SDHA",0.01,0.009
"239752","[1, 5] mismatches","RECQL4",0.01,NA
"240624","[1, 5] mismatches","POLE",0.01,NA
"246337","> 5 mismatches | Indels","TP53",0.01,NA
"280748","[1, 5] mismatches","KMT2A",0.01,NA
"299892","[1, 5] mismatches","RET",0.01,NA
"376172","[1, 5] mismatches","ERBB4",0.01,NA
"38076","[1, 5] mismatches","BRCA2",0.01,NA
"39545","[1, 5] mismatches","ALOX12B",0.01,0.009
"428695","[1, 5] mismatches","RB1",0.01,NA
"428749","[1, 5] mismatches","STK11",0.01,NA
"428859","> 5 mismatches | Indels","TP53",0.01,NA
"439998","[1, 5] mismatches","NF1",0.01,0.009
"454104","[1, 5] mismatches","BLM",0.01,NA
"472896","[1, 5] mismatches","PLCG2",0.01,NA
"477936","[1, 5] mismatches","NOTCH1",0.01,NA
"480953","[1, 5] mismatches","TP53",0.01,NA
"481011","[1, 5] mismatches","CDH1",0.01,NA
"485943","> 5 mismatches | Indels","NF1",0.01,0.009
"49953","[1, 5] mismatches","TSC2",0.01,NA
"501282","[1, 5] mismatches","ANKRD11",0.01,NA
"521568","[1, 5] mismatches","NOTCH1",0.01,NA
"532661","[1, 5] mismatches","RUNX1",0.01,NA
"568876","[1, 5] mismatches","PDGFRA",0.01,NA
"572175","[1, 5] mismatches","RET",0.01,NA
"574932","[1, 5] mismatches","STK11",0.01,NA
"584923","[1, 5] mismatches","TP53",0.01,NA
"634669","[1, 5] mismatches","TP53",0.01,NA
"634753","[1, 5] mismatches","TP53",0.01,0.009
"634774","[1, 5] mismatches","TP53",0.01,NA
"641057","> 5 mismatches | Indels","MSH2",0.01,0.009
"6740","[1, 5] mismatches","DNMT3B",0.01,NA
"726988","[1, 5] mismatches","TP63",0.01,NA
"743388","[1, 5] mismatches","NOTCH4",0.01,NA
"806899","[1, 5] mismatches","ERBB3",0.01,NA
"818331","> 5 mismatches | Indels","TP53",0.01,NA
"818670","> 5 mismatches | Indels","FH",0.01,NA
"834905","[1, 5] mismatches","POLD1",0.01,NA
"839056","[1, 5] mismatches","TP53",0.01,NA
"851728","[1, 5] mismatches","PIK3CD",0.01,NA
"944620","[1, 5] mismatches","DNMT3B",0.01,NA
"946214","[1, 5] mismatches","AKT1",0.01,NA
"950072","[1, 5] mismatches","AXIN2",0.01,0.009
"954938","[1, 5] mismatches","TSC1",0.01,NA
"972765","[1, 5] mismatches","HNF1A",0.01,NA
"973001","> 5 mismatches | Indels","CSF1R",0.01,NA
"9777","[1, 5] mismatches","KDM5C",0.01,NA
"100212","[1, 5] mismatches","VWF",NA,0.009
"1004733","[1, 5] mismatches","COL5A1",NA,0.009
"1004809","> 5 mismatches | Indels","TINF2",NA,0.009
"1005078","[1, 5] mismatches","PRPF6",NA,0.009
"1005224","[1, 5] mismatches","WDPCP",NA,0.009
"1005797","[1, 5] mismatches","CACNA2D4",NA,0.009
"1006343","[1, 5] mismatches","CDK4",NA,0.009
"1006819","[1, 5] mismatches","ATRX",0.002,0.009
"1007756","[1, 5] mismatches","ABCC9",NA,0.009
"1007787","[1, 5] mismatches","PRDM16",NA,0.009
"1007899","[1, 5] mismatches","RYR2",NA,0.009
"1009729","[1, 5] mismatches","PCDH15",NA,0.009
"1009857","[1, 5] mismatches","CDKN1B",NA,0.009
"1010331","[1, 5] mismatches","CCDC40",NA,0.009
"1010424","[1, 5] mismatches","TUB",NA,0.009
"1012563","[1, 5] mismatches","SERPINE1",NA,0.009
"1013194","[1, 5] mismatches","COL18A1",NA,0.009
"1013459","[1, 5] mismatches","CHRNA4",NA,0.009
"1014158","[1, 5] mismatches","CACNA1A",NA,0.009
"1014928","[1, 5] mismatches","DOK7",NA,0.009
"1015123","> 5 mismatches | Indels","PCSK9",NA,0.009
"1016630","[1, 5] mismatches","FAS",NA,0.009
"1017371","[1, 5] mismatches","DOCK8",NA,0.009
"1017534","[1, 5] mismatches","CNTNAP2",NA,0.009
"1019146","[1, 5] mismatches","COL2A1",NA,0.009
"1019628","[1, 5] mismatches","KIT",0.004,0.009
"1020304","> 5 mismatches | Indels","ADGRV1",NA,0.009
"1020535","[1, 5] mismatches","PIGO",NA,0.009
"1020640","[1, 5] mismatches","TOR1AIP1",NA,0.009
"1021324","> 5 mismatches | Indels","AGRN",NA,0.009
"1021553","[1, 5] mismatches","ARSB",NA,0.009
"1022298","[1, 5] mismatches","RYR3",NA,0.009
"1023642","> 5 mismatches | Indels","SYNJ1",NA,0.009
"1023644","[1, 5] mismatches","ITGB2",NA,0.009
"1024613","[1, 5] mismatches","BCKDHA",NA,0.009
"1024894","[1, 5] mismatches","B4GALT7",NA,0.009
"1025677","[1, 5] mismatches","KCNH2",NA,0.009
"1025936","[1, 5] mismatches","NEB",NA,0.009
"102671","[1, 5] mismatches","PAH",NA,0.009
"1026817","[1, 5] mismatches","PDHX",NA,0.009
"1027756","[1, 5] mismatches","CDK10",NA,0.009
"1028866","[1, 5] mismatches","FRAS1",NA,0.009
"1029275","[1, 5] mismatches","REEP2",NA,0.009
"1029538","> 5 mismatches | Indels","IFNAR2",NA,0.009
"1029656","[1, 5] mismatches","VPS13B",NA,0.009
"1029820","> 5 mismatches | Indels","SLC25A19",NA,0.009
"1031304","[1, 5] mismatches","FUT8",NA,0.009
"1033297","[1, 5] mismatches","PIGG",NA,0.009
"1033518","[1, 5] mismatches","FMN2",NA,0.009
"1035016","[1, 5] mismatches","TUB",NA,0.009
"1035530","[1, 5] mismatches","AGBL5",NA,0.009
"1035828","[1, 5] mismatches","DOK7",NA,0.009
"1036162","[1, 5] mismatches","NHEJ1",NA,0.009
"1039525","[1, 5] mismatches","TREX1",NA,0.009
"1040451","[1, 5] mismatches","INVS",NA,0.009
"1040609","[1, 5] mismatches","DST",NA,0.009
"1044349","[1, 5] mismatches","RIMS1",NA,0.009
"1044524","[1, 5] mismatches","LAMB2",NA,0.009
"1045008","[1, 5] mismatches","LRP2",NA,0.009
"1046171","[1, 5] mismatches","DDR2",NA,0.009
"1046729","[1, 5] mismatches","CHRNA4",NA,0.009
"1048210","[1, 5] mismatches","GALNS",NA,0.009
"1049752","[1, 5] mismatches","SOX10",NA,0.009
"1051077","[1, 5] mismatches","CCDC40",NA,0.009
"1053201","[1, 5] mismatches","PHRF1",NA,0.009
"1053487","[1, 5] mismatches","HK1",NA,0.009
"1055615","[1, 5] mismatches","WHRN",NA,0.009
"1057915","[1, 5] mismatches","RELN",NA,0.009
"1060284","[1, 5] mismatches","PDGFRA",NA,0.009
"1062038","> 5 mismatches | Indels","CPT1A",NA,0.009
"1062458","> 5 mismatches | Indels","BLM",NA,0.009
